template,asset,phase,phase_start,phase_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
ma200_trend_entry,XRP,forward,2025-01-01,2026-05-06,11770,-6.3547,20.5735,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma200_trend_entry,BNB,train,2020-01-01,2023-12-31,23246,-1.938,17.7847,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma200_trend_entry,BNB,validate,2024-01-01,2024-12-31,8784,16.5517,11.1678,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma200_trend_entry,BNB,forward,2025-01-01,2026-05-06,11770,-2.3922,23.4126,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma200_trend_entry,PAXG,train,2020-01-01,2023-12-31,23246,1.175,3.5985,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma200_trend_entry,PAXG,validate,2024-01-01,2024-12-31,8784,4.7451,4.3489,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma200_trend_entry,PAXG,forward,2025-01-01,2026-05-06,11770,15.4459,8.4522,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma_pullback,BTC,train,2020-01-01,2023-12-31,23246,1.662,15.5379,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma_pullback,BTC,validate,2024-01-01,2024-12-31,8784,16.2312,6.872,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma_pullback,BTC,forward,2025-01-01,2026-05-06,11770,-3.4599,15.8428,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma_pullback,ETH,train,2020-01-01,2023-12-31,23246,-4.701,12.1832,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma_pullback,ETH,validate,2024-01-01,2024-12-31,8784,3.4968,6.0092,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma_pullback,ETH,forward,2025-01-01,2026-05-06,11770,-3.1653,9.6131,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma_pullback,XRP,train,2020-01-01,2023-12-31,23246,-6.535,11.876,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma_pullback,XRP,validate,2024-01-01,2024-12-31,8784,13.9359,7.1906,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma_pullback,XRP,forward,2025-01-01,2026-05-06,11770,-5.5838,18.3619,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma_pullback,BNB,train,2020-01-01,2023-12-31,23246,-6.327,8.7115,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma_pullback,BNB,validate,2024-01-01,2024-12-31,8784,7.5288,5.5245,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma_pullback,BNB,forward,2025-01-01,2026-05-06,11770,-1.1804,12.8184,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma_pullback,PAXG,train,2020-01-01,2023-12-31,23246,0.798,2.8601,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
